GDP (USD_CAP),Country,Year,hhsize,age_first,Cost of business startup procedures,Corporate Tax,Income Tax,UNEDUC,knowent,opport,suskill,sunewcst,discent,TEASIC4C_0,TEASIC4C_1,TEASIC4C_2,TEASIC4C_3,TEASIC4C_4,gender,age,age2,TEAyy
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,0,1,1,1,0,0,0,0,0,1,2,30,900,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,1,1,1,0,0,0,0,0,0,1,2,41,1681,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,0,1,1,0,0,0,0,0,0,1,2,24,576,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,0,0,0,0,0,0,0,0,0,1,2,51,2601,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,0,1,1,1,0,0,0,0,1,0,2,21,441,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,1,1,1,1,0,0,0,0,0,1,2,52,2704,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,1,1,1,0,0,0,0,0,1,0,2,24,576,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,0,1,1,1,0,0,0,0,0,1,2,30,900,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,1,1,1,1,0,0,0,0,1,0,2,24,576,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,0,0,0,0,0,0,0,0,0,1,2,46,2116,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,0,0,1,0,0,0,0,0,0,1,2,38,1444,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,1,1,1,0,0,0,0,0,1,0,2,29,841,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,0,1,1,0,0,0,0,0,1,0,2,24,576,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,1,0,0,1,0,0,0,0,0,1,2,59,3481,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,0,0,0,0,0,0,0,1,0,0,2,48,2304,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,1,0,1,0,0,0,0,0,0,1,2,31,961,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,1,1,1,0,0,0,0,0,0,1,2,36,1296,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,1,1,0,0,0,0,0,0,1,0,2,63,3969,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,1,0,0,0,0,0,0,0,0,1,2,40,1600,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,0,1,1,1,0,0,0,0,0,1,2,33,1089,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,1,0,0,0,1,0,0,0,1,0,2,51,2601,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,1,0,0,0,0,0,0,1,0,0,0,2,57,3249,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,1,0,1,0,0,0,0,0,1,0,2,39,1521,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,1,1,1,1,0,0,0,0,0,1,2,46,2116,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,0,1,1,0,0,0,0,0,1,0,2,48,2304,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,1,0,0,0,0,0,0,0,0,1,0,2,65,4225,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,0,1,1,0,0,0,0,0,1,0,2,23,529,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,1,0,0,0,0,0,0,0,0,1,2,32,1024,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,1,1,1,0,0,0,0,0,0,1,2,33,1089,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,1,1,1,0,0,0,0,0,1,0,2,28,784,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,1,1,1,0,0,0,0,1,0,0,2,22,484,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,1,1,1,0,0,0,0,0,0,1,2,53,2809,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,1,1,1,1,1,0,0,0,1,0,2,28,784,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,1,0,1,0,0,0,0,0,0,1,2,33,1089,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,1,0,0,0,0,0,0,0,1,0,2,46,2116,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,1,0,1,1,0,0,0,0,0,1,2,51,2601,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,0,1,1,0,0,0,0,0,1,0,2,32,1024,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,1,1,0,0,0,0,0,0,0,1,2,29,841,1
50301.85,NL,2015,2.2,31.2,5,2.673,7.595,0,1,0,1,1,0,0,0,0,1,0,2,32,1024,1
